set,donor_ratio,concentration,spinspeed,annealing_t,sol_add_v_perc,pce,voc,jsc,ff,status,filter_trial,round
1,0.5,8,800,55,0,12.1669,0.8357,22.8446,0.6352,accept,accept,1
2,0.5,12,1500,70,0.5,10.888,0.82,20.3818,0.6487,accept,accept,1
3,0.5,16,2500,90,1,5.8419,0.7986,14.0463,0.5304,accept,accept,1
4,0.5,20,4500,110,2,9.5672,0.7925,19.0338,0.6359,accept,accept,1
5,0.5,22,6000,130,5,10.1539,0.7482,21.3647,0.6322,accept,accept,1
6,0.8,8,2500,70,2,4.5097,0.7517,9.2128,0.6448,accept,accept,1
7,0.8,12,4500,90,5,2.2445,0.8288,5.8797,0.466,accept,accept,1
8,0.8,16,6000,110,0,11.0734,0.8181,22.1065,0.6084,accept,accept,1
9,0.8,20,800,130,0.5,10.5511,0.7971,24.0929,0.5476,accept,accept,1
10,0.8,22,1500,55,1,11.9897,0.83,23.3522,0.6125,accept,accept,1
11,1,8,6000,90,0.5,7.0274,0.788,13.4624,0.6595,accept,accept,1
12,1,12,800,110,1,1.4477,0.7733,4.6933,0.393,accept,accept,1
13,1,16,1500,130,2,0.2717,0.8067,1.944,0.1633,accept,accept,1
14,1,20,2500,55,5,11.3317,0.8367,23.398,0.5737,accept,accept,1
15,1,22,4500,70,0,12.4778,0.8432,23.3368,0.6319,accept,accept,1
16,1.2,8,1500,110,5,7.928,0.8143,16.6066,0.5854,accept,accept,1
17,1.2,12,2500,130,0,11.3922,0.8245,21.5456,0.6389,accept,accept,1
18,1.2,16,4500,55,0.5,13.8985,0.8775,22.6585,0.6945,accept,accept,1
19,1.2,20,6000,70,1,10.2567,0.8033,20.927,0.6025,accept,accept,1
20,1.2,22,800,90,2,5.2753,0.84,17.6613,0.3523,accept,accept,1
21,1.5,8,4500,130,1,9.4886,0.8138,16.889,0.6858,accept,accept,1
22,1.5,12,6000,55,2,10.948,0.8408,18.516,0.6993,accept,accept,1
23,1.5,16,800,70,5,9.1685,0.8,21.2766,0.535,accept,accept,1
24,1.5,20,1500,90,0,7.7256,0.83,20.249,0.4568,accept,accept,1
25,1.5,22,2500,110,0.5,10.8024,0.8133,22.2833,0.5929,accept,accept,1
26,0.25,16,2500,55,0,9.4076,0.8367,21.1342,0.5262,accept,accept,2
27,0.2,24,6000,130,0,6.9495,0.7917,18.2137,0.4772,accept,accept,2
28,0.2,28,6000,130,0,6.5778,0.782,17.4094,0.4784,accept,accept,2
29,0.4,24,6000,130,0,7.7932,0.798,20.8906,0.4632,accept,accept,2
30,0.4,28,6000,130,0,7.3197,0.795,19.7877,0.4607,accept,accept,2
31,0.5,22,2500,130,0,7.3952,0.796,19.0202,0.4836,accept,accept,2
32,0.8,22,6000,130,0,7.5208,0.8,20.0448,0.4638,accept,accept,2
33,0.25,6,600,45,0,9.1265,0.8262,15.7937,0.683,accept,accept,3
34,1,14,3300,87.5,2.5,2.3288,0.8383,6.8392,0.3955,accept,accept,3
35,1.38,10,1950,66.2,3.75,9.9802,0.812,21.6122,0.5568,accept,accept,3
36,0.625,18,4650,109,1.25,9.1052,0.83,18.3878,0.5938,accept,accept,3
37,0.812,12,5320,98.1,1.88,7.2234,0.756,15.1206,0.616,accept,accept,3
38,1.56,20,2620,55.6,4.38,3.8475,0.745,12.9993,0.3862,accept,accept,3
39,1.19,8,3980,119,3.12,4.593,0.796,8.6972,0.649,accept,accept,3
40,0.438,16,1280,76.9,0.625,9.7248,0.85,19.8588,0.5622,accept,accept,3
41,0.531,11,2960,125,2.81,3.8008,0.796,8.2558,0.5644,accept,accept,3
42,1.28,19,5660,82.2,0.312,12.6302,0.836,22.6744,0.6502,accept,accept,3
43,1.66,7,1610,103,1.56,4.7026,0.79,9.2632,0.6276,accept,accept,3
44,0.906,15,4310,60.9,4.06,0.8482,0.875,2.6388,0.3585,accept,accept,3
45,0.719,9,3640,71.6,4.69,0.9145,0.765,2.6828,0.4322,accept,accept,3
46,1.47,17,938,114,2.19,1.2178,0.8012,4.0492,0.3642,accept,accept,3
47,1.09,13,4990,50.3,0.938,5.4352,0.798,13.4554,0.4896,accept,accept,3
48,0.344,21,2290,92.8,3.44,3.6554,0.832,8.6878,0.4892,accept,accept,3
49,0.391,13.5,4140,84.8,1.41,3.095,0.83,7.4956,0.4856,accept,accept,3
50,1.14,21.5,1440,127,3.91,4.8288,0.7483,14.1248,0.4463,accept,accept,3
51,1.52,9.5,5490,63.6,2.66,7.4,0.8367,12.952,0.6663,accept,accept,3
52,0.766,17.5,2790,106,0.156,11.117,0.816,21.6396,0.6146,accept,accept,3
53,0.953,7.5,2120,117,0.781,3.8928,0.8133,9.2367,0.5018,accept,accept,3
54,1.7,15.5,4820,74.2,3.28,6.197,0.76,19.37,0.411,accept,accept,3
55,1.33,11.5,769,95.5,4.53,0.8005,0.7825,3.0585,0.324,accept,accept,3
56,0.578,19.5,3470,53,2.03,0.3922,0.8625,2.6218,0.1658,accept,accept,3
57,0.484,8.5,5160,90.2,4.22,4.0596,0.732,8.2636,0.6554,accept,accept,3
58,1.23,16.5,2460,47.7,1.72,5.737,0.795,16.0735,0.4395,accept,accept,3
59,1.61,12.5,3810,111,0.469,7.5074,0.754,19.7746,0.4922,accept,accept,3
60,0.859,20.5,1110,68.9,2.97,0.0646,0.87,0.3954,0.1832,accept,accept,3
61,0.672,10.5,1780,58.3,3.59,0.3128,0.87,1.4852,0.2262,accept,accept,3
62,1.42,18.5,4480,101,1.09,8.1688,0.71,18.8636,0.5962,accept,accept,3
63,1.05,6.5,3130,79.5,2.34,5.1904,0.758,10.3126,0.6482,accept,accept,3
64,0.297,14.5,5830,122,4.84,1.4708,0.796,4.7872,0.376,accept,accept,3
