round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,distance,distance_log,design
1,15,na,C,1,22,70,4500,0,20220208,C,919,-1230,0.9,0.787,REJECT,ACCEPT,,,sdoe
1,8,na,D,0.8,16,110,6000,0,20220222,B,216,-440,0.75,0.64,REJECT,ACCEPT,,,sdoe
1,12,na,C,1,12,110,800,1,20220126,D,17.7,20.6,1,0.812,REJECT,ACCEPT,,,sdoe
1,17,na,B,1.2,12,130,2500,0,20211006,C,13.5,24.3,0.8,0.668,ACCEPT,ACCEPT,,,sdoe
1,2,na,A,0.5,12,70,1500,0.5,20210914,C,13.4,25,0.81,0.628,ACCEPT,ACCEPT,,,sdoe
2,42,na,A,0.391,13.5,84.8,4140,1.41,20240709,f,13.205,25.449,0.82,0.618,accept,accept,,,sobol32
2,27,na,A,1,14,87.5,3300,2.5,20240703,c,13.074,22.978,0.82,0.677,accept,accept,,,sobol32
2,42,na,A,0.391,13.5,84.8,4140,1.41,20240709,e,12.961,24.742,0.82,0.624,accept,accept,,,sobol32
1,2,na,B,0.5,12,70,1500,0.5,20210929,F,12.9,21.8,0.82,0.683,ACCEPT,ACCEPT,,,sdoe
1,19,na,D,1.2,20,70,6000,1,20220517,C,12.9,23.9,0.84,0.611,ACCEPT,ACCEPT,,,sdoe
2,42,na,A,0.391,13.5,84.8,4140,1.41,20240709,c,12.847,23.355,0.82,0.655,accept,accept,,,sobol32
1,20,na,A,1.2,22,90,800,2,20210928,C,12.8,22.1,0.84,0.664,ACCEPT,REJECT,,,sdoe
1,3,na,B,0.5,16,90,2500,1,20210929,C,12.8,27,0.79,0.572,ACCEPT,ACCEPT,,,sdoe
1,8,na,D,0.8,16,110,6000,0,20220222,C,12.8,23.7,0.81,0.654,ACCEPT,ACCEPT,,,sdoe
1,8,na,B,0.8,16,110,6000,0,20211005,F,12.6,23.1,0.8,0.649,ACCEPT,ACCEPT,,,sdoe
1,8,na,D,0.8,16,110,6000,0,20220222,F,12.6,24.5,0.81,0.624,ACCEPT,ACCEPT,,,sdoe
2,40,na,A,1.09,13,50.3,4990,0.938,20240709,c,12.598,22.878,0.85,0.632,accept,accept,,,sobol32
2,42,na,A,0.391,13.5,84.8,4140,1.41,20240709,b,12.584,23.501,0.82,0.637,accept,accept,,,sobol32
2,27,na,A,1,14,87.5,3300,2.5,20240703,b,12.551,22.746,0.82,0.657,accept,accept,,,sobol32
1,18,na,B,1.2,16,55,4500,0.5,20211006,C,12.5,22.1,0.82,0.662,ACCEPT,ACCEPT,,,sdoe
1,8,na,A,0.8,16,110,6000,0,20210914,C,12.4,24.2,0.82,0.594,ACCEPT,ACCEPT,,,sdoe
1,1,na,D,0.5,8,55,800,0,20220215,E,12.4,25.2,0.82,0.584,ACCEPT,REJECT,,,sdoe
2,35,na,A,1.28,19,82.2,5660,0.312,20240705,c,12.265,24.124,0.84,0.591,accept,accept,,,sobol32
2,40,na,A,1.09,13,50.3,4990,0.938,20240709,b,12.253,22.885,0.85,0.615,accept,accept,,,sobol32
1,2,na,B,0.5,12,70,1500,0.5,20210929,E,12.2,22.5,0.82,0.631,ACCEPT,ACCEPT,,,sdoe
1,17,na,B,1.2,12,130,2500,0,20211006,B,12.2,23.9,0.79,0.62,ACCEPT,ACCEPT,,,sdoe
2,42,na,A,0.391,13.5,84.8,4140,1.41,20240709,a,12.119,23.676,0.82,0.609,accept,accept,,,sobol32
1,24,na,A,1.5,20,90,1500,0,20211005,C,12.1,23.3,0.83,0.595,ACCEPT,ACCEPT,,,sdoe
1,2,na,C,0.5,12,70,1500,0.5,20220119,F,12.1,21.5,0.81,0.664,ACCEPT,ACCEPT,,,sdoe
1,20,na,A,1.2,22,90,800,2,20210928,B,12,21.8,0.84,0.626,ACCEPT,REJECT,,,sdoe
1,2,na,C,0.5,12,70,1500,0.5,20220119,C,12,22,0.81,0.64,ACCEPT,ACCEPT,,,sdoe
1,22,na,A,1.5,12,55,6000,2,20210928,C,11.9,20.7,0.82,0.669,ACCEPT,ACCEPT,,,sdoe
1,8,na,B,0.8,16,110,6000,0,20211005,C,11.9,22.5,0.8,0.627,ACCEPT,ACCEPT,,,sdoe
2,42,na,A,0.391,13.5,84.8,4140,1.41,20240709,d,11.826,23.243,0.82,0.606,accept,accept,,,sobol32
1,3,na,B,0.5,16,90,2500,1,20210929,B,11.8,26.6,0.79,0.534,ACCEPT,ACCEPT,,,sdoe
