donor_ratio,concentration,spinspeed,annealing_t,sol_add_v_perc,round,set,date,pce,jsc,voc,ff,distance,distance_log
0.5,8.0,800,55.0,0.0,1.0,1.0,20210920.4286,6.7986,12.0429,0.8243,0.6523,,
0.5,12.0,1500,70.0,0.5,1.0,2.0,20215542.0,11.1167,21.8167,0.8156,0.5981,,
0.5,16.0,2500,90.0,1.0,1.0,3.0,20216201.0,10.2421,22.5357,0.7921,0.5504,,
0.5,20.0,4500,110.0,2.0,1.0,4.0,20215342.6957,8.2478,19.4565,0.7326,0.5443,,
0.5,22.0,6000,130.0,5.0,1.0,5.0,20210922.1818,9.1264,21.4636,0.7491,0.5394,,
0.8,8.0,2500,70.0,2.0,1.0,6.0,20215516.5,8.8275,18.2583,0.7733,0.6049,,
0.8,12.0,4500,90.0,5.0,1.0,7.0,20214596.0,7.584,19.42,0.75,0.496,,
0.8,16.0,6000,110.0,0.0,1.0,8.0,20213493.9091,11.7636,23.7909,0.8055,0.5898,,
0.8,20.0,800,130.0,0.5,1.0,9.0,20215343.1905,8.1681,20.7381,0.7533,0.4992,,
0.8,22.0,1500,55.0,1.0,1.0,10.0,20215939.1818,9.2864,19.4336,0.8055,0.5184,,
1.0,8.0,6000,90.0,0.5,1.0,11.0,20213655.8824,7.5718,14.9206,0.8076,0.6165,,
1.0,12.0,800,110.0,1.0,1.0,12.0,20213075.2308,7.0446,17.9923,0.7692,0.4852,,
1.0,16.0,1500,130.0,2.0,1.0,13.0,20215003.8125,7.72,19.6,0.7644,0.4904,,
1.0,20.0,2500,55.0,5.0,1.0,14.0,20216527.2,9.745,19.34,0.8,0.6028,,
1.0,22.0,4500,70.0,0.0,1.0,15.0,20213802.3846,9.9269,20.2385,0.81,0.5775,,
1.2,8.0,1500,110.0,5.0,1.0,16.0,20215634.25,8.4283,16.7,0.7858,0.6071,,
1.2,12.0,2500,130.0,0.0,1.0,17.0,20215329.1818,10.53,21.7182,0.7864,0.5864,,
1.2,16.0,4500,55.0,0.5,1.0,18.0,20215657.0,10.6258,20.7917,0.8175,0.602,,
1.2,20.0,6000,70.0,1.0,1.0,19.0,20216148.1,9.8635,20.665,0.827,0.5508,,
1.2,22.0,800,90.0,2.0,1.0,20.0,20214456.75,6.1938,16.725,0.7588,0.4651,,
1.5,8.0,4500,130.0,1.0,1.0,21.0,20217670.1429,5.4136,10.375,0.7821,0.6404,,
1.5,12.0,6000,55.0,2.0,1.0,22.0,20215722.5,10.5858,19.8083,0.835,0.6108,,
1.5,16.0,800,70.0,5.0,1.0,23.0,20215669.0,8.9058,19.3417,0.8017,0.5567,,
1.5,20.0,1500,90.0,0.0,1.0,24.0,20211060.5,10.3158,19.6417,0.8325,0.6063,,
1.5,22.0,2500,110.0,0.5,1.0,25.0,20215056.1111,6.9044,15.5556,0.7911,0.5557,,
0.25,6.0,600,45.0,0.0,2.0,26.0,20240703.0,7.594,14.4985,0.8109,0.632,,
1.0,14.0,3300,87.5,2.5,2.0,27.0,20240703.0,12.4423,22.5653,0.8233,0.6533,,
1.38,10.0,1950,66.2,3.75,2.0,28.0,20240703.0,10.2728,21.033,0.8117,0.5875,,
0.625,18.0,4650,109.0,1.25,2.0,29.0,20240703.0,10.8338,22.4135,0.815,0.5787,,
0.812,12.0,5320,98.1,1.88,2.0,30.0,20240703.0,10.098,17.74,0.8233,0.6747,,
1.56,20.0,2620,55.6,4.38,2.0,31.0,20240705.0,6.9522,16.5622,0.8033,0.5102,,
1.19,8.0,3980,119.0,3.12,2.0,32.0,20240709.0,8.0552,14.4866,0.812,0.6678,,
0.438,16.0,1280,76.9,0.625,2.0,33.0,20240705.0,9.4712,22.034,0.804,0.5218,,
0.531,11.0,2960,125.0,2.81,2.0,34.0,20240705.0,10.1568,21.091,0.7917,0.5937,,
1.28,19.0,5660,82.2,0.312,2.0,35.0,20240705.0,10.5842,21.6345,0.84,0.5687,,
1.66,7.0,1610,103.0,1.56,2.0,36.0,20240705.0,8.2075,15.5493,0.8333,0.6187,,
0.906,15.0,4310,60.9,4.06,2.0,37.0,20240709.0,10.8038,21.9797,0.815,0.5892,,
0.719,9.0,3640,71.6,4.69,2.0,38.0,20240709.0,9.8975,17.8748,0.8217,0.6572,,
1.47,17.0,938,114.0,2.19,2.0,39.0,20240709.0,6.0813,18.415,0.7233,0.4457,,
1.09,13.0,4990,50.3,0.938,2.0,40.0,20240709.0,11.3625,21.6657,0.85,0.6018,,
0.344,21.0,2290,92.8,3.44,2.0,41.0,20240709.0,9.738,22.1245,0.765,0.5615,,
0.391,13.5,4140,84.8,1.41,2.0,42.0,20240709.0,12.5903,23.9943,0.82,0.6248,,
1.14,21.5,1440,127.0,3.91,2.0,43.0,20240709.0,8.9752,21.3572,0.782,0.5236,,
1.52,9.5,5490,63.6,2.66,2.0,44.0,20240710.0,10.1612,18.6072,0.8383,0.6358,,
0.766,17.5,2790,106.0,0.156,2.0,45.0,20240710.0,10.2848,22.0658,0.8075,0.5625,,
0.953,7.5,2120,117.0,0.781,2.0,46.0,20240710.0,7.6095,13.2202,0.81,0.693,,
1.7,15.5,4820,74.2,3.28,2.0,47.0,20240710.0,9.8122,20.2598,0.8217,0.5752,,
1.33,11.5,769,95.5,4.53,2.0,48.0,20240710.0,7.9802,17.6352,0.79,0.5592,,
0.578,19.5,3470,53.0,2.03,2.0,49.0,20240710.0,9.839,22.0393,0.8033,0.5425,,
0.484,8.5,5160,90.2,4.22,2.0,50.0,20240710.0,4.98,8.7678,0.78,0.71,,
1.23,16.5,2460,47.7,1.72,2.0,51.0,20240710.0,9.5052,19.3198,0.8367,0.5738,,
1.61,12.5,3810,111.0,0.469,2.0,52.0,20240716.0,10.3178,19.6085,0.84,0.6165,,
0.859,20.5,1110,68.9,2.97,2.0,53.0,20240716.0,7.6078,19.3375,0.7825,0.495,,
0.672,10.5,1780,58.3,3.59,2.0,54.0,20240716.0,8.5477,19.8587,0.7833,0.5407,,
1.42,18.5,4480,101.0,1.09,2.0,55.0,20240716.0,10.7678,21.151,0.83,0.6035,,
1.05,6.5,3130,79.5,2.34,2.0,56.0,20240716.0,7.7906,13.9718,0.822,0.6676,,
0.297,14.5,5830,122.0,4.84,2.0,57.0,20240716.0,9.7517,20.596,0.7817,0.5963,,
