set,donor_ratio,concentration,spinspeed,annealing_t,sol_add_v_perc,pce,voc,jsc,ff,status,filter_trial,round
1,0.5,8,800,55,0,6.7986,0.8243,12.0429,0.6523,accept,accept,1
2,0.5,12,1500,70,0.5,11.1167,0.8156,21.8167,0.5981,accept,accept,1
3,0.5,16,2500,90,1,10.2421,0.7921,22.5357,0.5504,accept,accept,1
4,0.5,20,4500,110,2,8.2478,0.7326,19.4565,0.5443,accept,accept,1
5,0.5,22,6000,130,5,9.1264,0.7491,21.4636,0.5394,accept,accept,1
6,0.8,8,2500,70,2,8.8275,0.7733,18.2583,0.6049,accept,accept,1
7,0.8,12,4500,90,5,7.584,0.75,19.42,0.496,accept,accept,1
8,0.8,16,6000,110,0,11.7636,0.8055,23.7909,0.5898,accept,accept,1
9,0.8,20,800,130,0.5,8.1681,0.7533,20.7381,0.4992,accept,accept,1
10,0.8,22,1500,55,1,9.2864,0.8055,19.4336,0.5184,accept,accept,1
11,1,8,6000,90,0.5,7.5718,0.8076,14.9206,0.6165,accept,accept,1
12,1,12,800,110,1,7.0446,0.7692,17.9923,0.4852,accept,accept,1
13,1,16,1500,130,2,7.72,0.7644,19.6,0.4904,accept,accept,1
14,1,20,2500,55,5,9.745,0.8,19.34,0.6028,accept,accept,1
15,1,22,4500,70,0,9.9269,0.81,20.2385,0.5775,accept,accept,1
16,1.2,8,1500,110,5,8.4283,0.7858,16.7,0.6071,accept,accept,1
17,1.2,12,2500,130,0,10.53,0.7864,21.7182,0.5864,accept,accept,1
18,1.2,16,4500,55,0.5,10.6258,0.8175,20.7917,0.602,accept,accept,1
19,1.2,20,6000,70,1,9.8635,0.827,20.665,0.5508,accept,accept,1
20,1.2,22,800,90,2,6.1938,0.7588,16.725,0.4651,accept,accept,1
21,1.5,8,4500,130,1,5.4136,0.7821,10.375,0.6404,accept,accept,1
22,1.5,12,6000,55,2,10.5858,0.835,19.8083,0.6108,accept,accept,1
23,1.5,16,800,70,5,8.9058,0.8017,19.3417,0.5567,accept,accept,1
24,1.5,20,1500,90,0,10.3158,0.8325,19.6417,0.6063,accept,accept,1
25,1.5,22,2500,110,0.5,6.9044,0.7911,15.5556,0.5557,accept,accept,1
26,0.25,6,600,45,0,7.594,0.8109,14.4985,0.632,accept,accept,2
27,1,14,3300,87.5,2.5,12.4423,0.8233,22.5653,0.6533,accept,accept,2
28,1.38,10,1950,66.2,3.75,10.2728,0.8117,21.033,0.5875,accept,accept,2
29,0.625,18,4650,109,1.25,10.8338,0.815,22.4135,0.5787,accept,accept,2
30,0.812,12,5320,98.1,1.88,10.098,0.8233,17.74,0.6747,accept,accept,2
31,1.56,20,2620,55.6,4.38,6.9522,0.8033,16.5622,0.5102,accept,accept,2
32,1.19,8,3980,119,3.12,8.0552,0.812,14.4866,0.6678,accept,accept,2
33,0.438,16,1280,76.9,0.625,9.4712,0.804,22.034,0.5218,accept,accept,2
34,0.531,11,2960,125,2.81,10.1568,0.7917,21.091,0.5937,accept,accept,2
35,1.28,19,5660,82.2,0.312,10.5842,0.84,21.6345,0.5687,accept,accept,2
36,1.66,7,1610,103,1.56,8.2075,0.8333,15.5493,0.6187,accept,accept,2
37,0.906,15,4310,60.9,4.06,10.8038,0.815,21.9797,0.5892,accept,accept,2
38,0.719,9,3640,71.6,4.69,9.8975,0.8217,17.8748,0.6572,accept,accept,2
39,1.47,17,938,114,2.19,6.0813,0.7233,18.415,0.4457,accept,accept,2
40,1.09,13,4990,50.3,0.938,11.3625,0.85,21.6657,0.6018,accept,accept,2
41,0.344,21,2290,92.8,3.44,9.738,0.765,22.1245,0.5615,accept,accept,2
42,0.391,13.5,4140,84.8,1.41,12.5903,0.82,23.9943,0.6248,accept,accept,2
43,1.14,21.5,1440,127,3.91,8.9752,0.782,21.3572,0.5236,accept,accept,2
44,1.52,9.5,5490,63.6,2.66,10.1612,0.8383,18.6072,0.6358,accept,accept,2
45,0.766,17.5,2790,106,0.156,10.2848,0.8075,22.0658,0.5625,accept,accept,2
46,0.953,7.5,2120,117,0.781,7.6095,0.81,13.2202,0.693,accept,accept,2
47,1.7,15.5,4820,74.2,3.28,9.8122,0.8217,20.2598,0.5752,accept,accept,2
48,1.33,11.5,769,95.5,4.53,7.9802,0.79,17.6352,0.5592,accept,accept,2
49,0.578,19.5,3470,53,2.03,9.839,0.8033,22.0393,0.5425,accept,accept,2
50,0.484,8.5,5160,90.2,4.22,4.98,0.78,8.7678,0.71,accept,accept,2
51,1.23,16.5,2460,47.7,1.72,9.5052,0.8367,19.3198,0.5738,accept,accept,2
52,1.61,12.5,3810,111,0.469,10.3178,0.84,19.6085,0.6165,accept,accept,2
53,0.859,20.5,1110,68.9,2.97,7.6078,0.7825,19.3375,0.495,accept,accept,2
54,0.672,10.5,1780,58.3,3.59,8.5477,0.7833,19.8587,0.5407,accept,accept,2
55,1.42,18.5,4480,101,1.09,10.7678,0.83,21.151,0.6035,accept,accept,2
56,1.05,6.5,3130,79.5,2.34,7.7906,0.822,13.9718,0.6676,accept,accept,2
57,0.297,14.5,5830,122,4.84,9.7517,0.7817,20.596,0.5963,accept,accept,2
