donor_ratio,concentration,spinspeed,annealing_t,sol_add_v_perc,set,pce,voc,jsc,ff,round
0.5,8.0,800,55.0,0.0,1.0,6.7986,0.8243,12.0429,0.6523,1.0
0.5,12.0,1500,70.0,0.5,2.0,11.1167,0.8156,21.8167,0.5981,1.0
0.5,16.0,2500,90.0,1.0,3.0,10.2421,0.7921,22.5357,0.5504,1.0
0.5,20.0,4500,110.0,2.0,4.0,8.2478,0.7326,19.4565,0.5443,1.0
0.5,22.0,6000,130.0,5.0,5.0,9.1264,0.7491,21.4636,0.5394,1.0
0.8,8.0,2500,70.0,2.0,6.0,8.8275,0.7733,18.2583,0.6049,1.0
0.8,12.0,4500,90.0,5.0,7.0,7.584,0.75,19.42,0.496,1.0
0.8,16.0,6000,110.0,0.0,8.0,11.7636,0.8055,23.7909,0.5898,1.0
0.8,20.0,800,130.0,0.5,9.0,8.1681,0.7533,20.7381,0.4992,1.0
0.8,22.0,1500,55.0,1.0,10.0,9.2864,0.8055,19.4336,0.5184,1.0
1.0,8.0,6000,90.0,0.5,11.0,7.5718,0.8076,14.9206,0.6165,1.0
1.0,12.0,800,110.0,1.0,12.0,7.0446,0.7692,17.9923,0.4852,1.0
1.0,16.0,1500,130.0,2.0,13.0,7.72,0.7644,19.6,0.4904,1.0
1.0,20.0,2500,55.0,5.0,14.0,9.745,0.8,19.34,0.6028,1.0
1.0,22.0,4500,70.0,0.0,15.0,9.9269,0.81,20.2385,0.5775,1.0
1.2,8.0,1500,110.0,5.0,16.0,8.4283,0.7858,16.7,0.6071,1.0
1.2,12.0,2500,130.0,0.0,17.0,10.53,0.7864,21.7182,0.5864,1.0
1.2,16.0,4500,55.0,0.5,18.0,10.6258,0.8175,20.7917,0.602,1.0
1.2,20.0,6000,70.0,1.0,19.0,9.8635,0.827,20.665,0.5508,1.0
1.2,22.0,800,90.0,2.0,20.0,6.1938,0.7588,16.725,0.4651,1.0
1.5,8.0,4500,130.0,1.0,21.0,5.4136,0.7821,10.375,0.6404,1.0
1.5,12.0,6000,55.0,2.0,22.0,10.5858,0.835,19.8083,0.6108,1.0
1.5,16.0,800,70.0,5.0,23.0,8.9058,0.8017,19.3417,0.5567,1.0
1.5,20.0,1500,90.0,0.0,24.0,10.3158,0.8325,19.6417,0.6063,1.0
1.5,22.0,2500,110.0,0.5,25.0,6.9044,0.7911,15.5556,0.5557,1.0
0.25,6.0,600,45.0,0.0,26.0,7.594,0.8109,14.4985,0.632,2.0
1.0,14.0,3300,87.5,2.5,27.0,12.4423,0.8233,22.5653,0.6533,2.0
1.38,10.0,1950,66.2,3.75,28.0,10.2728,0.8117,21.033,0.5875,2.0
0.625,18.0,4650,109.0,1.25,29.0,10.8338,0.815,22.4135,0.5787,2.0
0.812,12.0,5320,98.1,1.88,30.0,10.098,0.8233,17.74,0.6747,2.0
1.56,20.0,2620,55.6,4.38,31.0,6.9522,0.8033,16.5622,0.5102,2.0
1.19,8.0,3980,119.0,3.12,32.0,8.0552,0.812,14.4866,0.6678,2.0
0.438,16.0,1280,76.9,0.625,33.0,9.4712,0.804,22.034,0.5218,2.0
0.531,11.0,2960,125.0,2.81,34.0,10.1568,0.7917,21.091,0.5937,2.0
1.28,19.0,5660,82.2,0.312,35.0,10.5842,0.84,21.6345,0.5687,2.0
1.66,7.0,1610,103.0,1.56,36.0,8.2075,0.8333,15.5493,0.6187,2.0
0.906,15.0,4310,60.9,4.06,37.0,10.8038,0.815,21.9797,0.5892,2.0
0.719,9.0,3640,71.6,4.69,38.0,9.8975,0.8217,17.8748,0.6572,2.0
1.47,17.0,938,114.0,2.19,39.0,6.0813,0.7233,18.415,0.4457,2.0
1.09,13.0,4990,50.3,0.938,40.0,11.3625,0.85,21.6657,0.6018,2.0
0.344,21.0,2290,92.8,3.44,41.0,9.738,0.765,22.1245,0.5615,2.0
0.391,13.5,4140,84.8,1.41,42.0,12.5903,0.82,23.9943,0.6248,2.0
1.14,21.5,1440,127.0,3.91,43.0,8.9752,0.782,21.3572,0.5236,2.0
1.52,9.5,5490,63.6,2.66,44.0,10.1612,0.8383,18.6072,0.6358,2.0
0.766,17.5,2790,106.0,0.156,45.0,10.2848,0.8075,22.0658,0.5625,2.0
0.953,7.5,2120,117.0,0.781,46.0,7.6095,0.81,13.2202,0.693,2.0
1.7,15.5,4820,74.2,3.28,47.0,9.8122,0.8217,20.2598,0.5752,2.0
1.33,11.5,769,95.5,4.53,48.0,7.9802,0.79,17.6352,0.5592,2.0
0.578,19.5,3470,53.0,2.03,49.0,9.839,0.8033,22.0393,0.5425,2.0
0.484,8.5,5160,90.2,4.22,50.0,4.98,0.78,8.7678,0.71,2.0
1.23,16.5,2460,47.7,1.72,51.0,9.5052,0.8367,19.3198,0.5738,2.0
1.61,12.5,3810,111.0,0.469,52.0,10.3178,0.84,19.6085,0.6165,2.0
0.859,20.5,1110,68.9,2.97,53.0,7.6078,0.7825,19.3375,0.495,2.0
0.672,10.5,1780,58.3,3.59,54.0,8.5477,0.7833,19.8587,0.5407,2.0
1.42,18.5,4480,101.0,1.09,55.0,10.7678,0.83,21.151,0.6035,2.0
1.05,6.5,3130,79.5,2.34,56.0,7.7906,0.822,13.9718,0.6676,2.0
0.297,14.5,5830,122.0,4.84,57.0,9.7517,0.7817,20.596,0.5963,2.0
