Model,Mean Squared Error,Explained Variance,R^2,Timestamp,Spearman,Pearson
Random Forest Pipeline,1.997,0.395,0.395,2026-02-02 17:46:36,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-02 17:49:29,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 13:09:10,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 15:45:50,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 15:47:05,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 15:50:59,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 16:48:26,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 16:54:27,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 16:56:21,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 16:57:52,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 17:00:26,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 17:25:27,[0.81  0.015],[0.69  0.058]
Random Forest Pipeline,1.997,0.395,0.395,2026-02-04 17:27:50,[0.81  0.015],[0.69  0.058]
